"gene_id","logP"
"isogroup112290_c0_g1",-0.419493940907402
"isogroup11229_c0_g1",0.907692891380223
"isogroup112339_c0_g1",0
"isogroup11233_c0_g1",0.113447080726464
"isogroup112342_c0_g1",0
"isogroup112345_c0_g1",0
"isogroup112356_c0_g1",0.595230784320466
"isogroup11235_c0_g1",0
"isogroup112365_c0_g1",-0.0110330095830885
"isogroup112385_c0_g1",0
"isogroup112393_c0_g1",-0.0110330095830885
"isogroup112422_c0_g1",-0.332971022466144
"isogroup112438_c0_g1",0
"isogroup112454_c0_g1",-0.348064807571606
"isogroup112464_c0_g1",0
"isogroup112469_c0_g1",NA
"isogroup112503_c0_g1",0.931442282357589
"isogroup112520_c0_g1",-0.245413165418826
"isogroup112526_c0_g1",-0.309353846440571
"isogroup112530_c0_g1",3.39095062572934
"isogroup112535_c0_g1",0.114441597073369
"isogroup112537_c0_g1",0
"isogroup112538_c0_g1",-0.627108187177506
"isogroup112542_c0_g1",-0.0127738385176464
"isogroup112543_c0_g1",2.07175948868709
"isogroup112548_c0_g1",0
"isogroup112568_c0_g1",-1.62538519613513
"isogroup112578_c0_g1",0
"isogroup112603_c0_g1",0
"isogroup112608_c0_g1",0
"isogroup112610_c0_g1",0
"isogroup112620_c0_g1",0.283624898896851
"isogroup112638_c0_g1",NA
"isogroup112661_c0_g1",-0.508358232194642
"isogroup112672_c0_g1",NA
"isogroup112677_c0_g1",1.96415800380079
"isogroup112689_c0_g1",NA
"isogroup112701_c0_g1",0
"isogroup112716_c0_g1",NA
"isogroup112719_c0_g1",0.711028166845136
"isogroup112720_c0_g1",0.482852805224332
"isogroup112738_c0_g1",0.939113518533032
"isogroup112741_c0_g1",-0.878512399018165
"isogroup112751_c0_g1",NA
"isogroup112752_c0_g1",-0.0110330095830885
"isogroup11275_c0_g1",0.274311709022988
"isogroup112763_c0_g1",-1.01606446855374
"isogroup112766_c0_g1",3.88817820177067
"isogroup112784_c0_g1",0
"isogroup11278_c0_g1",-0.728799485118838
"isogroup112796_c0_g1",NA
"isogroup112797_c0_g1",0.0596819141227464
"isogroup112815_c0_g1",-0.0110330095830886
"isogroup112820_c0_g1",0
"isogroup112855_c0_g1",0
"isogroup112860_c0_g1",0
"isogroup112902_c0_g1",0.59336237828401
"isogroup11290_c0_g1",0
